lag,lead_media,lag_media,influence,p
1,17,50,0.09334802786421999,1.263697927032802e-9
1,17,64,0.012114996973128386,0.30222816745874304
1,17,66,-0.016932770168254542,0.07450577607728341
1,17,68,0.015578495189335195,0.33369696341243726
1,17,73,0.1333904974813199,3.241760894695101e-15
1,17,103,0.12626175669714565,7.55959557424622e-14
1,17,136,0.012506493412275551,0.33118510143871105
1,17,215,0.12215873175220852,8.49292550560751e-14
1,17,258,0.02974279850149223,0.013203216189633353
1,17,275,-0.0014387793028351583,0.958501965326073
1,17,394,0.044974673252568396,0.010502915620984772
1,17,410,0.12869117995836454,9.982678819499839e-17
1,17,435,0.037461999765615366,0.04271859265006919
1,17,441,0.07321457180539223,2.4966449470138655e-11
1,17,449,0.014797196708932904,0.1601217901407295
1,17,467,0.03470466494539165,0.007453998905894529
1,17,490,-0.023787394695127306,0.03925879405768891
1,17,537,-0.060080116294569094,0.04505160503026953
1,17,624,0.0064658678125647994,0.5044879918928411
1,17,625,-0.01701162808948621,0.10138274024065039
1,17,650,0.03814649997982094,0.012232187252456731
1,17,680,0.09001922809955562,6.362730255944271e-9
1,17,684,-0.018597193628455532,0.025048338329183194
1,17,688,-0.07129100157320249,3.585228798719734e-6
1,17,694,-0.02014206997580729,0.12397657126810535
1,17,696,0.04737595104198529,4.1812093766097937e-4
1,17,750,0.028425072768297782,0.0035666301970591133
1,17,777,0.04212761622618629,0.030817850739636103
1,50,17,0.027392992457711967,0.02336052166621038
1,50,64,-0.05937507415454812,7.185505080055506e-12
1,50,66,-0.011036935641125985,0.1282673098263132
1,50,68,0.024280166745143484,0.03850399524471082
1,50,73,0.011276093290535468,0.23521351791593914
1,50,103,0.01648354690369438,0.1436804567415114
1,50,136,-0.0722825573981694,2.170317641606881e-15
1,50,215,-0.037762718528957455,2.326897456211699e-4
1,50,258,-0.030858822401906266,0.0015248004557620461
1,50,275,-0.023722715617344826,0.32861871133019116
1,50,394,-0.08566126670733941,2.2021230666669193e-13
1,50,410,0.005452897344892504,0.5732852288804794
1,50,435,-0.009324223363551388,0.39611043052928974
1,50,441,0.01784825711562051,0.02687131013130556
1,50,449,4.433284773695089e-4,0.9562191275563554
1,50,467,0.010706699031170094,0.2880904291350997
1,50,490,-0.054996135080056165,1.5757932712706856e-11
1,50,537,-0.10646303680859945,7.4360771609018485e-9
1,50,624,0.10872651992751113,1.904645717469546e-27
1,50,625,-0.06187341213665238,2.225651012562894e-17
1,50,650,0.013274194315710152,0.30469320909544884
1,50,680,-0.02045055651557496,0.04766913772665848
1,50,684,0.013087984913865763,0.06124118031406738
1,50,688,-0.06726235776462546,7.46796864763354e-9
1,50,694,-0.08149740946594616,8.910969104909827e-19
1,50,696,-0.0389723655402138,3.8394151741616585e-5
1,50,750,0.03483222378683116,9.041424545219254e-5
1,50,777,-0.010628346689209945,0.4728571135038062
1,64,17,-0.026127370031404373,0.022631547237276475
1,64,50,-0.059415499868743706,1.4083839850710897e-9
1,64,66,-0.019583895964100626,2.68811297156248e-4
1,64,68,-0.03283700556928522,3.274899664413891e-4
1,64,73,-0.03973812971388506,6.888587866357704e-6
1,64,103,-0.04068699046761304,1.3949913289690271e-5
1,64,136,0.10402906768907885,1.1651521624117697e-23
1,64,215,0.03068799225051206,0.002306218061114468
1,64,258,-0.003081342646579714,0.6730661166066525
1,64,275,0.1314170753733128,5.259532194967633e-9
1,64,394,0.01934297350394597,0.08235844168062387
1,64,410,-0.04416745546234331,1.771244349119233e-8
1,64,435,0.02793451325491549,0.013024962662529824
1,64,441,-0.007357149510922634,0.25324585680273315
1,64,449,-0.030882786848293632,4.316679868451929e-6
1,64,467,-0.035650881909490076,5.981872278595282e-6
1,64,490,0.039098089183153044,1.8765407296081374e-5
1,64,537,0.12063292335233904,1.213646601155636e-7
1,64,624,-0.04225665968167723,4.760715908656768e-12
1,64,625,0.041398451447630276,1.8519914417214675e-6
1,64,650,-0.041694118685894684,2.2567450828988356e-6
1,64,680,-0.03257358434836496,5.709903523678362e-5
1,64,684,-0.02596469137021253,3.432176897558148e-7
1,64,688,-0.0204107816365286,0.05647101361592182
1,64,694,0.0988805406810007,1.6206980588012997e-17
1,64,696,-0.008299940214757998,0.30637237565916103
1,64,750,-0.02347682370863062,4.649884818131219e-4
1,64,777,-0.011394448606975551,0.3342326771144172
1,66,17,-0.09942897058220476,4.1650642775100565e-4
1,66,50,-0.029516558861925134,0.31103590481238597
1,66,64,-0.0932360931937399,7.986590366407124e-6
1,66,68,0.060248760136831774,0.0676263173111878
1,66,73,-0.06868039660118525,0.01492352229182551
1,66,103,-0.047575771265610266,0.11453848269516882
1,66,136,-0.08479105997261131,2.704067694863839e-5
1,66,215,-0.16321700793958274,2.051127614760513e-10
1,66,258,0.01131653710778579,0.6575068169599925
1,66,275,-0.10955934350486961,0.005642707451249645
1,66,394,-0.1698693217318149,1.2056879241916879e-8
1,66,410,-0.09531180807797202,1.9363569345917986e-4
1,66,435,-0.054735378242979894,0.049392653670949256
1,66,441,0.022664992286709807,0.3227631865358702
1,66,449,-0.02658550852487216,0.21915141343431044
1,66,467,-0.048142040037240284,0.07374665433522426
1,66,490,-0.10416878037462807,6.312159214187086e-7
1,66,537,-0.09875758031464797,0.06522536405244299
1,66,624,8.13948561731828e-4,0.9694421626197967
1,66,625,-0.060741626038232674,0.00166181359587328
1,66,650,0.02149594605102255,0.5305735893816939
1,66,680,0.04432030621511346,0.1342941593579523
1,66,684,0.024718399951749372,0.13743895755241328
1,66,688,0.021899673953985472,0.5063759762684458
1,66,694,-0.12814080185780258,2.410972203735263e-7
1,66,696,-0.06387912628286409,0.007861184360821685
1,66,750,0.032885949576469196,0.14104061321991043
1,66,777,-0.0943972668461753,0.017450025676357193
1,68,17,-0.015060764291535522,0.20496955655218294
1,68,50,0.02099030509185874,0.08299088158101986
1,68,64,-0.019814980413474848,0.022620129318704517
1,68,66,0.012697891271642048,0.09589306745592108
1,68,73,-0.004241818235213936,0.6990174826833639
1,68,103,-0.00935244226530782,0.42367814465394127
1,68,136,-0.030056943993067742,7.735303002231513e-4
1,68,215,-0.05195219746405363,6.15763029451832e-7
1,68,258,0.027011199524379338,0.008336036487728684
1,68,275,-0.04045928379807864,0.014567273952045039
1,68,394,-0.07758140024419431,4.338902247147959e-12
1,68,410,-0.010924989248950991,0.25736272840376556
1,68,435,-0.015391567322015453,0.20872009165798094
1,68,441,0.012296819194736274,0.14586372658491423
1,68,449,-0.017739890001228564,0.047424854231593636
1,68,467,-0.024201564974390775,0.026267140499399107
1,68,490,-0.05448008644930964,8.082294537668867e-13
1,68,537,-0.06760778996886133,0.003269247009369567
1,68,624,0.013263999298347614,0.08721176125307878
1,68,625,-0.046261233403840425,1.4403191572561738e-10
1,68,650,0.047918921592632203,4.0486956664656916e-4
1,68,680,-4.842729943534516e-4,0.9644968337155331
1,68,684,-0.0015759994988652423,0.8127312870523843
1,68,688,-0.026337853071077326,0.034538758205457036
1,68,694,-0.05081395603605568,1.195466590054115e-9
1,68,696,-0.018076916188401876,0.07042797596037084
1,68,750,-0.017829969859136884,0.04901232673168886
1,68,777,-0.012203807745729484,0.43740660617665605
1,73,17,0.12215005040669176,1.8955536896648186e-10
1,73,50,0.01934043039874095,0.24218246609067423
1,73,64,-0.022850318229013743,0.0842399596646175
1,73,66,-0.023932013617696757,0.009223760630909544
1,73,68,-0.009041958705089176,0.5963666042510805
1,73,103,0.0954043421227692,3.75991523566751e-8
1,73,136,-0.012142378627202717,0.38789668799879373
1,73,215,0.0570846204107216,2.746117545893425e-4
1,73,258,-0.0013678776410160644,0.9112055329490774
1,73,275,0.014282831715217834,0.6180076932113487
1,73,394,-0.011848125344808419,0.5283631241855408
1,73,410,0.08131134545373435,4.1049832863443535e-8
1,73,435,-0.012866462947554669,0.46473317540791903
1,73,441,0.06114293790860655,1.0205130337704292e-7
1,73,449,-0.0034562469509458577,0.7624151603583968
1,73,467,0.020287474695071795,0.15414176644084063
1,73,490,-0.0390919458820793,0.001921425340261185
1,73,537,-0.035641874616432485,0.2622422778094591
1,73,624,-0.020154248268763712,0.04286804900272214
1,73,625,-0.0319315837124066,0.005677340812618497
1,73,650,-0.02550190265265997,0.10000429615926543
1,73,680,0.044576854732657094,0.004828116221803812
1,73,684,-0.031011999785575117,2.368053339766092e-4
1,73,688,-0.07752180537176578,2.2741757965273102e-6
1,73,694,-0.044168652573065736,0.001486658144194843
1,73,696,0.02405888423240544,0.08926972765709718
1,73,750,0.011921052615776973,0.24533850506814894
1,73,777,0.0035565994927113215,0.8627332246492393
1,103,17,0.08447903138548453,3.382650015135427e-7
1,103,50,0.07426119918737442,3.0522355249857804e-7
1,103,64,-0.04405224405577326,5.872078567647495e-4
1,103,66,0.00390787488665122,0.6476646879765915
1,103,68,-0.022012838392873626,0.13161086806856304
1,103,73,0.07236090798689981,1.8393643748880195e-6
1,103,136,-0.05575166878115787,8.090909049414447e-6
1,103,215,0.029214552834535442,0.039327669334073376
1,103,258,-0.003451499296398359,0.7649787644008794
1,103,275,0.024857600126149983,0.3634877106823593
1,103,394,0.03762642289831906,0.027472310989122374
1,103,410,0.07399266927538022,4.3683664653142e-8
1,103,435,0.016690056538283968,0.2951692622248078
1,103,441,0.022954945453209266,0.027965303910668426
1,103,449,0.022847129936655983,0.030408638770056028
1,103,467,0.05397356891823111,2.043118625427599e-5
1,103,490,-0.04358726448342856,1.9458104964423416e-4
1,103,537,-0.015621166868007373,0.5451265171137827
1,103,624,0.012261899438004696,0.21922943764674854
1,103,625,-0.027649449584049038,0.010639371409441383
1,103,650,0.012225141137012703,0.39869279941630265
1,103,680,0.02869695968453022,0.03946128621426409
1,103,684,-0.006140976776225912,0.4348909538490362
1,103,688,-0.043155168357539374,0.010476946515195951
1,103,694,-0.05165404655184856,4.977272093468791e-5
1,103,696,0.034143783422006024,0.005892299065367894
1,103,750,0.03893862012053124,6.014073686490556e-4
1,103,777,-0.004092653625313602,0.827812051561145
1,136,17,-0.06643236725893936,1.2686162019407096e-7
1,136,50,-0.06165301883692255,1.018473649735233e-7
1,136,64,0.08956380614431458,4.090831522428465e-13
1,136,66,-0.021239710587559028,9.583860450661231e-4
1,136,68,-0.018340186588300465,0.05326830552397424
1,136,73,-0.040983917347639794,1.6628511280395082e-4
1,136,103,-0.05699692826051211,2.2629532105145705e-6
1,136,215,0.01743147185609444,0.13877321037978904
1,136,258,-0.007020521105575237,0.397992571249862
1,136,275,0.10210937787666224,4.0581830700800795e-6
1,136,394,0.014992055520794424,0.23968079603498968
1,136,410,-0.06374369279360284,4.937923942128935e-11
1,136,435,0.004602923653683883,0.6817403542218499
1,136,441,-0.013743769261887124,0.09211483683934235
1,136,449,-0.0317953736510528,5.281530441722695e-5
1,136,467,-0.06031469567215589,6.516523151216838e-11
1,136,490,0.019878789456678196,0.03820199744888906
1,136,537,0.07248714033310621,0.0010761956265615208
1,136,624,-0.04141941752266491,3.0190173796100055e-9
1,136,625,0.03134236563755253,4.6439987059608936e-4
1,136,650,-0.05764521612657708,3.082152694677346e-7
1,136,680,-0.06055148226801838,3.3919127958142636e-9
1,136,684,-0.02186398758460264,2.911074414951869e-4
1,136,688,-0.028259434231305145,0.01615577926264213
1,136,694,0.07471427567059215,1.1602368605379008e-10
1,136,696,-0.018883480004588303,0.04883839070102673
1,136,750,-0.04591509690814046,2.52784060194365e-10
1,136,777,-0.012944253519661218,0.3237148945828675
1,215,17,0.08119559704877181,8.104856580641332e-8
1,215,50,0.017422379058882283,0.16841973565715426
1,215,64,0.05254118438523663,3.2175166226508348e-6
1,215,66,-0.02905898531517765,2.3234808929257812e-5
1,215,68,-0.04620275057513535,9.374999513214195e-4
1,215,73,0.0370414298949257,0.00742141957624938
1,215,103,0.050574507083085696,3.928337060000621e-4
1,215,136,0.050098049498151324,2.8171861842465868e-5
1,215,258,-0.017389864130546197,0.0850708522849812
1,215,275,0.11896525385786072,1.0894958492901179e-6
1,215,394,0.04311047179693849,0.006047080375194596
1,215,410,0.026633730976449665,0.02417003822240102
1,215,435,0.013190871621487146,0.3340864768000076
1,215,441,0.00419014428233224,0.661275675827464
1,215,449,-0.009445561383309398,0.29801948494281355
1,215,467,-0.02332301776806454,0.02705311879014987
1,215,490,0.007137009987618895,0.5080078858800157
1,215,537,0.0013523587242486442,0.9542514623351792
1,215,624,-0.048850130162185396,4.067789152442554e-9
1,215,625,0.014267785547476633,0.15389323294492502
1,215,650,-0.052044399429730215,3.3892684533690426e-5
1,215,680,0.025692511454118157,0.0490049044737009
1,215,684,-0.03507725523319213,2.796313941779476e-7
1,215,688,-0.08673058811138204,2.2972132272199018e-10
1,215,694,0.058745086724813746,5.326782069631413e-6
1,215,696,-0.01601838594995853,0.15370593422601145
1,215,750,-0.0119116773803323,0.16498266051485008
1,215,777,0.018051966477757763,0.2976819411007244
1,258,17,-0.04332282090793404,0.004970084504081664
1,258,50,-0.03901288270920997,0.0050451251663811356
1,258,64,-0.03226671490075482,0.008756951370841513
1,258,66,-7.114305494430234e-4,0.9369158257591015
1,258,68,0.0591045311156141,6.737067046835068e-4
1,258,73,-0.04853965946242101,0.001529706174688645
1,258,103,-0.022461495275205714,0.1448333069451275
1,258,136,-0.031172471360036043,0.018638829843575976
1,258,215,-0.07873666328754055,9.509685679070049e-9
1,258,275,-0.1438552642835198,6.0549020756126e-9
1,258,394,-0.06060482244444439,1.5442679499516637e-4
1,258,410,-0.03536891396454164,0.010692334650480462
1,258,435,0.008634188912172122,0.5914395222361517
1,258,441,-0.0014303033991942492,0.8999927688476932
1,258,449,-0.01983472516403061,0.07361241054745454
1,258,467,-0.023799083225735273,0.06441220502965089
1,258,490,-0.06402151825067713,1.2779434567279027e-8
1,258,537,-0.06329701329253386,0.012028235696977554
1,258,624,-0.00753123209121597,0.41872239821596835
1,258,625,-0.046182781135529365,3.146074473944802e-5
1,258,650,0.09341973724845333,2.8265083690119427e-7
1,258,680,-0.0021968257737015684,0.8802326456811074
1,258,684,0.030966024298295088,6.467536226289135e-4
1,258,688,8.712517245316048e-4,0.9610586700521137
1,258,694,-0.06958515846336659,2.3354619972362252e-7
1,258,696,0.004143250564895828,0.7546298108858701
1,258,750,-0.038805608911235204,1.1380460315515916e-4
1,258,777,-0.011629284966872601,0.5814146962747786
1,275,17,-0.01631262170765568,0.006053113560475399
1,275,50,-0.02196084170459171,2.376497559939659e-5
1,275,64,0.019573983168359642,9.641491451702382e-4
1,275,66,-0.01413033624055915,2.4931350388554043e-5
1,275,68,-0.023877733624337323,7.739991588572045e-6
1,275,73,-0.015807993538445347,0.003232873224654169
1,275,103,-0.023744726877595004,4.0976702823757406e-5
1,275,136,0.0264836317531244,1.8646000907503748e-5
1,275,215,0.015003222590908591,0.006255049350674162
1,275,258,-0.02596574244439412,2.2383984772238713e-9
1,275,394,0.009291192217015933,0.15594167235570722
1,275,410,-0.01581107497620416,0.0031400414643367115
1,275,435,0.004085279741299094,0.5559871984347509
1,275,441,-0.011853789257668534,0.0028069126209959053
1,275,449,-0.018264790749119304,2.5472596989230206e-6
1,275,467,-0.01987582080290009,1.2197356504921653e-5
1,275,490,0.0046413738163201745,0.40846906067445765
1,275,537,0.04840995155949477,6.331313985632513e-4
1,275,624,-0.02478519298796932,1.3380652593246322e-12
1,275,625,0.00805388918125975,0.1270469157487177
1,275,650,-0.03473091999154051,2.0786097271039625e-9
1,275,680,-0.029700890643514187,2.3874375342267988e-9
1,275,684,-0.012954619314355447,6.02878818999357e-6
1,275,688,-0.025434032812611067,1.9259969969018692e-5
1,275,694,0.017979099620748604,0.005666933546773768
1,275,696,-0.017298946810380463,4.863768833578031e-4
1,275,750,-0.007482071332252752,0.10732165107016753
1,275,777,-0.015540671755856212,0.02116993277495726
1,394,17,0.0039403972321477,0.7417639659158356
1,394,50,-0.0405810828138804,7.161341124679865e-5
1,394,64,0.04451187179267535,3.893809999456219e-7
1,394,66,-0.01817775017381732,0.0016714707513994069
1,394,68,-0.06825112696520357,1.1749182804664368e-11
1,394,73,0.017730214973833616,0.1382768834880693
1,394,103,0.0021668629240544617,0.8591178718653523
